Isla,Gasto_persona,Gasto_persona_día,year,month
Ibiza_Formentera,904.33,121.46,2014,7
Mallorca,865.62,111.5,2014,6
Menorca,799.35,98.98,2014,6
Ibiza_Formentera,845.85,115.23,2014,6
Mallorca,719.51,98.6,2014,5
Menorca,649.27,80.35,2014,5
Ibiza_Formentera,712.31,110.67,2014,5
Mallorca,750.45,100.82,2014,4
Menorca,686.01,74.89,2014,4
Ibiza_Formentera,709.22,91.51,2014,4
Mallorca,844.61,105.58,2014,3
Menorca,658.06,75.31,2014,3
Ibiza_Formentera,687.46,87.14,2014,3
Mallorca,794.55,88.62,2014,2
Menorca,618.78,83.57,2014,2
Ibiza_Formentera,669.78,79.46,2014,2
Mallorca,885.02,84.27,2014,1
Menorca,728.49,58.16,2014,1
Ibiza_Formentera,701.39,80.63,2014,1
Mallorca,833.68,85.82,2013,12
Menorca,553.88,76.72,2013,12
Ibiza_Formentera,747.96,96.05,2013,12
Mallorca,830.56,97.7,2013,11
Menorca,1546.33,94.31,2013,11
Ibiza_Formentera,918.74,92.82,2013,11
Mallorca,959.54,117.11,2013,10
Menorca,952.9,108.45,2013,10
Ibiza_Formentera,1010.53,106.03,2013,10
Mallorca,939.29,109.76,2013,9
Menorca,913.11,98.14,2013,9
Ibiza_Formentera,1037.57,128.42,2013,9
Mallorca,1060.79,115.35,2013,8
Menorca,995.04,106.0,2013,8
Ibiza_Formentera,1092.24,135.6,2013,8
Mallorca,994.8,109.95,2013,7
Menorca,819.48,98.45,2013,7
Ibiza_Formentera,1000.64,133.01,2013,7
Mallorca,901.39,112.7,2013,6
Menorca,781.57,95.61,2013,6
Ibiza_Formentera,903.2,122.63,2013,6
Mallorca,766.67,108.7,2013,5
Menorca,805.01,100.48,2013,5
Ibiza_Formentera,761.1,103.08,2013,5
Mallorca,712.26,99.9,2013,4
Menorca,660.97,88.67,2013,4
Ibiza_Formentera,654.08,98.86,2013,4
Mallorca,775.99,101.28,2013,3
Menorca,839.05,99.2,2013,3
Ibiza_Formentera,784.39,88.42,2013,3
Mallorca,814.63,95.99,2013,2
Menorca,696.31,112.7,2013,2
Ibiza_Formentera,873.88,96.6,2013,2
Mallorca,828.17,87.29,2013,1
Menorca,425.51,70.39,2013,1
Ibiza_Formentera,704.46,73.9,2013,1
Mallorca,773.65,88.47,2012,12
Menorca,882.65,70.75,2012,12
Ibiza_Formentera,721.43,94.92,2012,12
Mallorca,794.1,98.79,2012,11
Menorca,685.93,86.86,2012,11
Ibiza_Formentera,755.28,92.92,2012,11
Mallorca,871.01,104.7,2012,10
Menorca,792.4,98.63,2012,10
Ibiza_Formentera,906.14,102.88,2012,10
Mallorca,949.53,109.88,2012,9
Menorca,921.69,97.97,2012,9
Ibiza_Formentera,1065.04,130.28,2012,9
Mallorca,978.67,101.71,2012,8
Menorca,959.32,110.97,2012,8
Ibiza_Formentera,1122.68,129.43,2012,8
Mallorca,980.44,110.27,2012,7
Menorca,889.25,102.85,2012,7
Ibiza_Formentera,998.49,128.15,2012,7
Mallorca,876.68,108.77,2012,6
Menorca,788.4,89.96,2012,6
Ibiza_Formentera,902.18,118.12,2012,6
Mallorca,721.41,105.06,2012,5
Menorca,731.54,87.66,2012,5
Ibiza_Formentera,688.15,94.03,2012,5
Mallorca,765.67,103.54,2012,4
Menorca,677.75,89.79,2012,4
Ibiza_Formentera,722.85,94.41,2012,4
Mallorca,808.07,95.78,2012,3
Menorca,687.08,104.5,2012,3
Ibiza_Formentera,611.15,74.8,2012,3
Mallorca,839.22,96.44,2012,2
Menorca,585.33,88.3,2012,2
Ibiza_Formentera,605.07,81.31,2012,2
Mallorca,891.2,87.93,2012,1
Menorca,583.49,81.46,2012,1
Ibiza_Formentera,710.89,84.56,2012,1
Mallorca,959.28,100.15,2011,12
Menorca,601.64,81.67,2011,12
Ibiza_Formentera,599.26,90.46,2011,12
Mallorca,893.69,92.18,2011,11
Menorca,709.66,88.49,2011,11
Ibiza_Formentera,619.93,96.2,2011,11
Mallorca,800.18,95.84,2011,10
Menorca,601.71,70.03,2011,10
Ibiza_Formentera,880.49,92.57,2011,10
Mallorca,915.33,104.53,2011,9
Menorca,748.06,82.16,2011,9
Ibiza_Formentera,929.37,114.33,2011,9
Mallorca,957.59,103.26,2011,8
Menorca,932.46,103.67,2011,8
Ibiza_Formentera,1055.26,120.22,2011,8
Mallorca,1018.87,115.54,2011,7
Menorca,862.78,100.78,2011,7
Ibiza_Formentera,1023.64,128.13,2011,7
Mallorca,888.2,114.47,2011,6
Menorca,792.0,90.7,2011,6
Ibiza_Formentera,851.73,114.77,2011,6
Mallorca,720.45,103.41,2011,5
Menorca,818.01,91.46,2011,5
Ibiza_Formentera,682.39,85.77,2011,5
Mallorca,818.99,103.49,2011,4
Menorca,725.0,95.38,2011,4
Ibiza_Formentera,749.88,97.51,2011,4
Mallorca,783.72,95.87,2011,3
Menorca,740.99,112.77,2011,3
Ibiza_Formentera,606.34,80.46,2011,3
Mallorca,772.93,97.66,2011,2
Menorca,,,2011,2
Ibiza_Formentera,602.3,85.46,2011,2
Mallorca,765.53,91.07,2011,1
Menorca,,,2011,1
Ibiza_Formentera,643.46,89.23,2011,1
Mallorca,936.46,99.42,2010,12
Menorca,703.54,109.85,2010,12
Ibiza_Formentera,752.24,86.79,2010,12
Mallorca,822.48,88.25,2010,11
Menorca,,,2010,11
Ibiza_Formentera,785.59,96.7,2010,11
Mallorca,818.61,99.17,2010,10
Menorca,850.37,100.47,2010,10
Ibiza_Formentera,871.21,99.13,2010,10
Mallorca,929.35,108.28,2010,9
Menorca,999.38,104.26,2010,9
Ibiza_Formentera,952.01,114.95,2010,9
Mallorca,964.67,107.94,2010,8
Menorca,1016.59,112.41,2010,8
Ibiza_Formentera,1127.8,122.57,2010,8
Mallorca,975.32,114.9,2010,7
Menorca,855.42,94.17,2010,7
Ibiza_Formentera,1052.04,126.35,2010,7
Mallorca,891.15,119.27,2010,6
Menorca,872.24,105.89,2010,6
Ibiza_Formentera,984.79,115.31,2010,6
