procedencia,Isla,gasto_persona,gasto_persona_dia,year,month
Sin paquete turístico,Eivissa-Formentera,920.17,177.0,2019,5
Con paquete turístico,Mallorca,903.6,151.53,2019,4
Sin paquete turístico,Mallorca,870.36,139.88,2019,4
Con paquete turístico,Menorca,500.54,130.0,2019,4
Sin paquete turístico,Menorca,572.41,92.67,2019,4
Con paquete turístico,Eivissa-Formentera,689.86,209.89,2019,4
Sin paquete turístico,Eivissa-Formentera,692.09,136.7,2019,4
Con paquete turístico,Mallorca,970.12,164.36,2019,3
Sin paquete turístico,Mallorca,822.26,144.94,2019,3
Con paquete turístico,Menorca,782.41,102.08,2019,3
Sin paquete turístico,Menorca,419.56,87.54,2019,3
Con paquete turístico,Eivissa-Formentera,,,2019,3
Sin paquete turístico,Eivissa-Formentera,504.4,91.21,2019,3
Con paquete turístico,Mallorca,874.85,154.46,2019,2
Sin paquete turístico,Mallorca,733.84,129.69,2019,2
Con paquete turístico,Menorca,700.79,102.34,2019,2
Sin paquete turístico,Menorca,459.94,73.89,2019,2
Con paquete turístico,Eivissa-Formentera,,,2019,2
Sin paquete turístico,Eivissa-Formentera,481.68,86.0,2019,2
Con paquete turístico,Mallorca,892.32,170.34,2019,1
Sin paquete turístico,Mallorca,721.38,98.81,2019,1
Con paquete turístico,Menorca,,,2019,1
Sin paquete turístico,Menorca,453.99,86.86,2019,1
Con paquete turístico,Eivissa-Formentera,,,2019,1
Sin paquete turístico,Eivissa-Formentera,584.02,82.37,2019,1
Con paquete turístico,Mallorca,,,2018,12
Sin paquete turístico,Mallorca,,,2018,12
Con paquete turístico,Menorca,,,2018,12
Sin paquete turístico,Menorca,,,2018,12
Con paquete turístico,Eivissa-Formentera,,,2018,12
Sin paquete turístico,Eivissa-Formentera,,,2018,12
Con paquete turístico,Mallorca,946.14,154.44,2018,11
Sin paquete turístico,Mallorca,775.59,105.31,2018,11
Con paquete turístico,Menorca,686.05,98.8,2018,11
Sin paquete turístico,Menorca,635.19,69.44,2018,11
Con paquete turístico,Eivissa-Formentera,712.16,172.13,2018,11
Sin paquete turístico,Eivissa-Formentera,505.9,76.65,2018,11
Con paquete turístico,Mallorca,1110.93,141.7,2018,10
Sin paquete turístico,Mallorca,891.81,133.39,2018,10
Con paquete turístico,Menorca,1116.76,136.59,2018,10
Sin paquete turístico,Menorca,986.98,136.48,2018,10
Con paquete turístico,Eivissa-Formentera,1045.35,148.52,2018,10
Sin paquete turístico,Eivissa-Formentera,898.01,133.97,2018,10
Con paquete turístico,Mallorca,1053.92,147.7,2018,9
Sin paquete turístico,Mallorca,905.66,135.46,2018,9
Con paquete turístico,Menorca,1044.81,146.79,2018,9
Sin paquete turístico,Menorca,877.58,109.14,2018,9
Con paquete turístico,Eivissa-Formentera,1046.66,138.51,2018,9
