origen_turistas,Isla,year,month,Num_turistas
Países nórdicos,Mallorca,2019,1,7557.0
ESPAÑA,Mallorca,2018,12,85271.0
Francia,Mallorca,2018,12,3375.0
Italia,Mallorca,2018,12,2452.0
Reino Unido,Mallorca,2018,12,19915.0
Alemania,Mallorca,2018,12,96239.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,12,
Países nórdicos,Mallorca,2018,12,7244.0
ESPAÑA,Mallorca,2018,11,88007.0
Francia,Mallorca,2018,11,5530.0
Italia,Mallorca,2018,11,6366.0
Reino Unido,Mallorca,2018,11,26910.0
Alemania,Mallorca,2018,11,94251.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,11,5454.0
Países nórdicos,Mallorca,2018,11,7960.0
ESPAÑA,Mallorca,2018,10,128904.0
Francia,Mallorca,2018,10,42031.0
Italia,Mallorca,2018,10,6554.0
Reino Unido,Mallorca,2018,10,219335.0
Alemania,Mallorca,2018,10,486205.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,10,51444.0
Países nórdicos,Mallorca,2018,10,71668.0
ESPAÑA,Mallorca,2018,9,142550.0
Francia,Mallorca,2018,9,50718.0
Italia,Mallorca,2018,9,35710.0
Reino Unido,Mallorca,2018,9,327546.0
Alemania,Mallorca,2018,9,613581.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,9,83655.0
Países nórdicos,Mallorca,2018,9,139825.0
ESPAÑA,Mallorca,2018,8,215210.0
Francia,Mallorca,2018,8,93412.0
Italia,Mallorca,2018,8,57770.0
Reino Unido,Mallorca,2018,8,395140.0
Alemania,Mallorca,2018,8,580684.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,8,113342.0
Países nórdicos,Mallorca,2018,8,115290.0
ESPAÑA,Mallorca,2018,7,183444.0
Francia,Mallorca,2018,7,72454.0
Italia,Mallorca,2018,7,48664.0
Reino Unido,Mallorca,2018,7,426884.0
Alemania,Mallorca,2018,7,579744.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,7,97766.0
Países nórdicos,Mallorca,2018,7,201633.0
ESPAÑA,Mallorca,2018,6,177945.0
Francia,Mallorca,2018,6,71970.0
Italia,Mallorca,2018,6,26355.0
Reino Unido,Mallorca,2018,6,380975.0
Alemania,Mallorca,2018,6,577362.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,6,85920.0
Países nórdicos,Mallorca,2018,6,138708.0
ESPAÑA,Mallorca,2018,5,122168.0
Francia,Mallorca,2018,5,65716.0
Italia,Mallorca,2018,5,11593.0
Reino Unido,Mallorca,2018,5,290620.0
Alemania,Mallorca,2018,5,543946.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,5,85170.0
Países nórdicos,Mallorca,2018,5,122494.0
ESPAÑA,Mallorca,2018,4,129977.0
Francia,Mallorca,2018,4,41923.0
Italia,Mallorca,2018,4,6722.0
Reino Unido,Mallorca,2018,4,176646.0
Alemania,Mallorca,2018,4,382439.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,4,38242.0
Países nórdicos,Mallorca,2018,4,77678.0
ESPAÑA,Mallorca,2018,3,103783.0
Francia,Mallorca,2018,3,8332.0
Italia,Mallorca,2018,3,
Reino Unido,Mallorca,2018,3,59314.0
Alemania,Mallorca,2018,3,215527.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,3,9228.0
Países nórdicos,Mallorca,2018,3,27502.0
ESPAÑA,Mallorca,2018,2,70500.0
Francia,Mallorca,2018,2,8334.0
Italia,Mallorca,2018,2,
Reino Unido,Mallorca,2018,2,18825.0
Alemania,Mallorca,2018,2,76067.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,2,11928.0
Países nórdicos,Mallorca,2018,2,9800.0
ESPAÑA,Mallorca,2018,1,72919.0
Francia,Mallorca,2018,1,1730.0
Italia,Mallorca,2018,1,
Reino Unido,Mallorca,2018,1,18628.0
Alemania,Mallorca,2018,1,56440.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2018,1,6278.0
Países nórdicos,Mallorca,2018,1,6940.0
ESPAÑA,Mallorca,2017,12,73012.0
Francia,Mallorca,2017,12,2851.0
Italia,Mallorca,2017,12,3448.0
Reino Unido,Mallorca,2017,12,13162.0
Alemania,Mallorca,2017,12,47931.0
