tipo_alojamiento,Isla,year,month,Num_establecimientos
Otro alojamiento de mercado,Mallorca,2019,9,19647.0
Alojamiento en propiedad,Mallorca,2019,9,44667.0
Alojamiento de familiares o amigos,Mallorca,2019,9,156581.0
Hoteles y similares,Mallorca,2019,8,1373772.0
Alojamiento de alquiler,Mallorca,2019,8,166491.0
Otro alojamiento de mercado,Mallorca,2019,8,35107.0
Alojamiento en propiedad,Mallorca,2019,8,70816.0
Alojamiento de familiares o amigos,Mallorca,2019,8,160926.0
Hoteles y similares,Mallorca,2019,7,1402808.0
Alojamiento de alquiler,Mallorca,2019,7,220888.0
Otro alojamiento de mercado,Mallorca,2019,7,32784.0
Alojamiento en propiedad,Mallorca,2019,7,64769.0
Alojamiento de familiares o amigos,Mallorca,2019,7,165697.0
Hoteles y similares,Mallorca,2019,6,1271407.0
Alojamiento de alquiler,Mallorca,2019,6,186195.0
Otro alojamiento de mercado,Mallorca,2019,6,27833.0
Alojamiento en propiedad,Mallorca,2019,6,64690.0
Alojamiento de familiares o amigos,Mallorca,2019,6,119160.0
Hoteles y similares,Mallorca,2019,5,1102896.0
Alojamiento de alquiler,Mallorca,2019,5,110115.0
Otro alojamiento de mercado,Mallorca,2019,5,17659.0
Alojamiento en propiedad,Mallorca,2019,5,53164.0
Alojamiento de familiares o amigos,Mallorca,2019,5,100830.0
Hoteles y similares,Mallorca,2019,4,564621.0
Alojamiento de alquiler,Mallorca,2019,4,177651.0
Otro alojamiento de mercado,Mallorca,2019,4,25292.0
Alojamiento en propiedad,Mallorca,2019,4,115704.0
Alojamiento de familiares o amigos,Mallorca,2019,4,168687.0
Hoteles y similares,Mallorca,2019,3,215252.0
Alojamiento de alquiler,Mallorca,2019,3,59259.0
Otro alojamiento de mercado,Mallorca,2019,3,16082.0
Alojamiento en propiedad,Mallorca,2019,3,53017.0
Alojamiento de familiares o amigos,Mallorca,2019,3,105626.0
Hoteles y similares,Mallorca,2019,2,108390.0
Alojamiento de alquiler,Mallorca,2019,2,24693.0
Otro alojamiento de mercado,Mallorca,2019,2,2374.0
Alojamiento en propiedad,Mallorca,2019,2,44277.0
Alojamiento de familiares o amigos,Mallorca,2019,2,77667.0
Hoteles y similares,Mallorca,2019,1,47296.0
Alojamiento de alquiler,Mallorca,2019,1,23738.0
Otro alojamiento de mercado,Mallorca,2019,1,2891.0
Alojamiento en propiedad,Mallorca,2019,1,49021.0
Alojamiento de familiares o amigos,Mallorca,2019,1,103190.0
Hoteles y similares,Mallorca,2018,12,72698.0
Alojamiento de alquiler,Mallorca,2018,12,38187.0
Otro alojamiento de mercado,Mallorca,2018,12,4669.0
Alojamiento en propiedad,Mallorca,2018,12,
Alojamiento de familiares o amigos,Mallorca,2018,12,
Hoteles y similares,Mallorca,2018,11,84213.0
Alojamiento de alquiler,Mallorca,2018,11,42524.0
Otro alojamiento de mercado,Mallorca,2018,11,3969.0
Alojamiento en propiedad,Mallorca,2018,11,47342.0
Alojamiento de familiares o amigos,Mallorca,2018,11,84354.0
Hoteles y similares,Mallorca,2018,10,805300.0
Alojamiento de alquiler,Mallorca,2018,10,139422.0
Otro alojamiento de mercado,Mallorca,2018,10,28255.0
Alojamiento en propiedad,Mallorca,2018,10,69325.0
Alojamiento de familiares o amigos,Mallorca,2018,10,108081.0
Hoteles y similares,Mallorca,2018,9,1202427.0
Alojamiento de alquiler,Mallorca,2018,9,161967.0
Otro alojamiento de mercado,Mallorca,2018,9,75996.0
Alojamiento en propiedad,Mallorca,2018,9,58802.0
Alojamiento de familiares o amigos,Mallorca,2018,9,116825.0
Hoteles y similares,Mallorca,2018,8,1284105.0
Alojamiento de alquiler,Mallorca,2018,8,216179.0
Otro alojamiento de mercado,Mallorca,2018,8,56585.0
Alojamiento en propiedad,Mallorca,2018,8,73657.0
Alojamiento de familiares o amigos,Mallorca,2018,8,204203.0
Hoteles y similares,Mallorca,2018,7,1370888.0
Alojamiento de alquiler,Mallorca,2018,7,227767.0
Otro alojamiento de mercado,Mallorca,2018,7,41115.0
Alojamiento en propiedad,Mallorca,2018,7,105445.0
Alojamiento de familiares o amigos,Mallorca,2018,7,179431.0
Hoteles y similares,Mallorca,2018,6,1282073.0
Alojamiento de alquiler,Mallorca,2018,6,170621.0
Otro alojamiento de mercado,Mallorca,2018,6,43898.0
Alojamiento en propiedad,Mallorca,2018,6,62280.0
Alojamiento de familiares o amigos,Mallorca,2018,6,150690.0
Hoteles y similares,Mallorca,2018,5,1068801.0
Alojamiento de alquiler,Mallorca,2018,5,139201.0
Otro alojamiento de mercado,Mallorca,2018,5,39544.0
Alojamiento en propiedad,Mallorca,2018,5,48185.0
Alojamiento de familiares o amigos,Mallorca,2018,5,105427.0
Hoteles y similares,Mallorca,2018,4,470485.0
Alojamiento de alquiler,Mallorca,2018,4,142307.0
Otro alojamiento de mercado,Mallorca,2018,4,46233.0
Alojamiento en propiedad,Mallorca,2018,4,99600.0
Alojamiento de familiares o amigos,Mallorca,2018,4,170017.0
Hoteles y similares,Mallorca,2018,3,221251.0
Alojamiento de alquiler,Mallorca,2018,3,70875.0
Otro alojamiento de mercado,Mallorca,2018,3,7596.0
Alojamiento en propiedad,Mallorca,2018,3,71377.0
Alojamiento de familiares o amigos,Mallorca,2018,3,102147.0
Hoteles y similares,Mallorca,2018,2,112411.0
Alojamiento de alquiler,Mallorca,2018,2,19817.0
Otro alojamiento de mercado,Mallorca,2018,2,7293.0
Alojamiento en propiedad,Mallorca,2018,2,31466.0
