procedencia,Isla,Transporte,Alojamiento,Manutención,Actividades,Otros,year,month
Extranjero,Menorca,21.76,47.98,34.03,27.48,21.74,2019,8
España,Ibiza_Formentera,12.74,25.29,23.2,13.18,5.85,2019,8
Extranjero,Ibiza_Formentera,99.64,139.12,88.78,106.13,39.93,2019,8
España,Mallorca,27.88,19.56,28.2,18.66,23.72,2019,7
Extranjero,Mallorca,181.88,321.46,281.57,255.26,161.58,2019,7
España,Menorca,16.82,20.11,21.01,10.32,12.64,2019,7
Extranjero,Menorca,20.97,44.31,35.46,27.73,23.43,2019,7
España,Ibiza_Formentera,11.79,19.54,19.69,9.95,5.57,2019,7
Extranjero,Ibiza_Formentera,114.47,130.86,92.05,104.34,39.67,2019,7
España,Mallorca,19.7,16.71,22.66,17.68,19.57,2019,6
Extranjero,Mallorca,149.4,264.95,254.13,221.75,121.34,2019,6
España,Menorca,10.23,11.97,12.45,6.04,6.82,2019,6
Extranjero,Menorca,10.01,27.99,26.46,20.15,15.15,2019,6
España,Ibiza_Formentera,8.44,9.13,12.99,7.15,4.15,2019,6
Extranjero,Ibiza_Formentera,59.44,72.69,73.02,72.09,27.71,2019,6
España,Mallorca,11.26,10.9,12.36,10.47,13.26,2019,5
Extranjero,Mallorca,116.25,162.21,189.47,171.81,98.22,2019,5
España,Menorca,2.67,2.32,3.29,1.76,1.9,2019,5
Extranjero,Menorca,7.16,13.6,13.63,11.08,8.69,2019,5
España,Ibiza_Formentera,5.88,6.93,9.34,4.24,2.78,2019,5
Extranjero,Ibiza_Formentera,57.89,58.28,51.76,45.8,21.48,2019,5
España,Mallorca,12.35,5.28,14.42,13.37,8.69,2019,4
Extranjero,Mallorca,120.57,155.03,181.94,132.96,83.22,2019,4
España,Menorca,4.54,1.4,4.91,2.82,2.0,2019,4
Extranjero,Menorca,2.49,4.79,4.07,2.87,1.73,2019,4
España,Ibiza_Formentera,4.97,2.99,6.86,3.15,2.52,2019,4
Extranjero,Ibiza_Formentera,22.25,14.49,29.92,20.43,7.85,2019,4
España,Mallorca,10.43,4.39,12.09,9.02,6.77,2019,3
Extranjero,Mallorca,54.62,56.11,72.02,58.61,27.13,2019,3
España,Menorca,2.72,1.22,2.67,1.81,1.04,2019,3
Extranjero,Menorca,0.18,,0.39,0.22,0.19,2019,3
España,Ibiza_Formentera,3.94,1.2,6.29,3.16,0.63,2019,3
Extranjero,Ibiza_Formentera,2.18,1.54,3.85,2.68,1.16,2019,3
España,Mallorca,8.58,3.88,8.15,6.82,4.7,2019,2
Extranjero,Mallorca,28.27,25.22,39.53,31.4,15.19,2019,2
España,Menorca,1.39,0.23,1.29,0.81,0.44,2019,2
Extranjero,Menorca,,,,,,2019,2
España,Ibiza_Formentera,2.19,0.34,3.36,1.7,0.3,2019,2
Extranjero,Ibiza_Formentera,1.64,,1.44,0.85,0.49,2019,2
España,Mallorca,10.55,3.67,11.29,8.94,5.35,2019,1
Extranjero,Mallorca,27.23,18.13,34.2,25.18,13.72,2019,1
España,Menorca,1.11,0.33,1.05,0.59,0.38,2019,1
Extranjero,Menorca,,,,,,2019,1
España,Ibiza_Formentera,2.26,0.35,3.95,1.95,0.2,2019,1
Extranjero,Ibiza_Formentera,2.63,,1.79,1.77,0.99,2019,1
España,Mallorca,,,,,,2018,12
Extranjero,Mallorca,,,,,,2018,12
España,Menorca,,,,,,2018,12
Extranjero,Menorca,,,,,,2018,12
España,Ibiza_Formentera,,,,,,2018,12
Extranjero,Ibiza_Formentera,,,,,,2018,12
España,Mallorca,10.29,5.29,9.0,7.29,5.44,2018,11
Extranjero,Mallorca,27.84,28.51,41.92,33.48,18.32,2018,11
España,Menorca,1.12,0.68,1.65,0.97,0.68,2018,11
Extranjero,Menorca,0.32,,0.77,0.69,0.35,2018,11
España,Ibiza_Formentera,2.08,,3.14,1.55,0.34,2018,11
Extranjero,Ibiza_Formentera,1.99,0.51,2.23,2.11,1.04,2018,11
España,Mallorca,14.54,10.56,12.24,11.13,8.6,2018,10
Extranjero,Mallorca,117.46,182.58,139.6,152.24,88.03,2018,10
España,Menorca,2.24,2.25,2.92,1.8,1.31,2018,10
Extranjero,Menorca,8.27,8.41,8.7,8.25,5.11,2018,10
España,Ibiza_Formentera,4.04,8.37,6.13,2.67,4.58,2018,10
Extranjero,Ibiza_Formentera,23.99,30.48,31.03,30.25,14.65,2018,10
España,Mallorca,15.88,15.3,14.69,14.62,12.63,2018,9
Extranjero,Mallorca,144.9,243.7,209.06,198.06,108.74,2018,9
España,Menorca,7.51,9.99,10.35,4.76,6.35,2018,9
Extranjero,Menorca,9.37,20.18,22.84,20.52,13.72,2018,9
