origen_turista,Gasto_persona,Gasto_persona_día,year,month
Alemania,916.71,141.14,2018,4
"Bélgica, Luxemburgo y Países Bajos",893.78,173.78,2018,4
Países nórdicos,1075.89,166.37,2018,4
ESPAÑA,438.56,88.58,2018,3
Francia,,,2018,3
Italia,,,2018,3
Reino Unido,764.32,151.69,2018,3
Alemania,989.83,131.79,2018,3
"Bélgica, Luxemburgo y Países Bajos",837.85,153.02,2018,3
Países nórdicos,1046.78,186.6,2018,3
ESPAÑA,479.77,95.15,2018,2
Francia,1066.35,110.31,2018,2
Italia,,,2018,2
Reino Unido,722.74,128.04,2018,2
Alemania,966.79,115.78,2018,2
"Bélgica, Luxemburgo y Países Bajos",853.03,131.07,2018,2
Países nórdicos,,,2018,2
ESPAÑA,416.47,71.39,2018,1
Francia,873.9,142.45,2018,1
Italia,1002.08,101.96,2018,1
Reino Unido,827.92,101.43,2018,1
Alemania,888.74,107.28,2018,1
"Bélgica, Luxemburgo y Países Bajos",873.34,121.56,2018,1
Países nórdicos,1214.32,138.68,2018,1
ESPAÑA,446.43,78.96,2017,12
Francia,809.61,112.74,2017,12
Italia,781.99,92.07,2017,12
Reino Unido,1099.23,125.13,2017,12
Alemania,942.63,100.59,2017,12
"Bélgica, Luxemburgo y Países Bajos",877.27,157.12,2017,12
Países nórdicos,1109.38,147.21,2017,12
ESPAÑA,450.8,85.02,2017,11
Francia,824.66,121.45,2017,11
Italia,571.99,96.23,2017,11
Reino Unido,760.41,110.12,2017,11
Alemania,944.04,112.23,2017,11
"Bélgica, Luxemburgo y Países Bajos",968.73,130.59,2017,11
Países nórdicos,1283.79,142.02,2017,11
ESPAÑA,556.74,85.75,2017,10
Francia,928.97,96.9,2017,10
Italia,965.18,81.15,2017,10
Reino Unido,919.62,126.03,2017,10
Alemania,1089.28,126.5,2017,10
"Bélgica, Luxemburgo y Países Bajos",1020.24,162.53,2017,10
Países nórdicos,1147.69,157.83,2017,10
ESPAÑA,650.06,90.56,2017,9
Francia,921.07,129.12,2017,9
Italia,900.53,118.09,2017,9
Reino Unido,896.84,137.98,2017,9
Alemania,1053.66,130.82,2017,9
"Bélgica, Luxemburgo y Países Bajos",1092.45,158.92,2017,9
Países nórdicos,1090.12,158.6,2017,9
ESPAÑA,700.5,88.14,2017,8
Francia,1155.67,131.16,2017,8
Italia,1038.04,137.59,2017,8
Reino Unido,1100.12,137.15,2017,8
Alemania,1172.52,129.96,2017,8
"Bélgica, Luxemburgo y Países Bajos",1221.82,157.43,2017,8
Países nórdicos,1310.17,173.89,2017,8
ESPAÑA,654.12,97.48,2017,7
Francia,1065.09,148.53,2017,7
Italia,935.39,137.78,2017,7
Reino Unido,1068.42,151.8,2017,7
Alemania,1067.5,141.43,2017,7
"Bélgica, Luxemburgo y Países Bajos",1214.52,170.33,2017,7
Países nórdicos,1359.94,158.73,2017,7
ESPAÑA,561.07,112.09,2017,6
Francia,806.65,144.23,2017,6
Italia,809.66,124.58,2017,6
Reino Unido,905.32,135.35,2017,6
Alemania,988.71,131.55,2017,6
"Bélgica, Luxemburgo y Países Bajos",995.73,158.96,2017,6
Países nórdicos,1134.91,153.01,2017,6
ESPAÑA,473.07,92.35,2017,5
Francia,838.4,140.02,2017,5
Italia,604.51,144.04,2017,5
Reino Unido,875.07,138.97,2017,5
Alemania,942.21,140.93,2017,5
"Bélgica, Luxemburgo y Países Bajos",971.11,157.09,2017,5
Países nórdicos,1095.58,166.7,2017,5
ESPAÑA,460.16,81.96,2017,4
