tipo_alojamiento,year,num_establecim,num_plazas,Isla
   (PE) PENSIÓN,2013,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2013,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2013,77.0,993.0,Mallorca
   (AG) AGROTURISMO,2012,176.0,2637.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2012,344.0,41261.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2012,18.0,538.0,Mallorca
   (CT) CAMPING TURÍSTICO,2012,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2012,1.0,660.0,Mallorca
   (F) FONDA,2012,8.0,230.0,Mallorca
   (H) HOTEL,2012,557.0,150960.0,Mallorca
   (HA) HOTEL APARTAMENTO,2012,188.0,77487.0,Mallorca
   (HO) HOSPEDERÍA,2012,0.0,0.0,Mallorca
   (HR) HOTEL RURAL,2012,32.0,1191.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2012,12.0,790.0,Mallorca
   (HS) HOSTAL,2012,76.0,4058.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2012,91.0,3762.0,Mallorca
   (PE) PENSIÓN,2012,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2012,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2012,66.0,859.0,Mallorca
   (AG) AGROTURISMO,2011,173.0,2494.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2011,349.0,41626.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2011,17.0,508.0,Mallorca
   (CT) CAMPING TURÍSTICO,2011,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2011,2.0,1778.0,Mallorca
   (F) FONDA,2011,8.0,230.0,Mallorca
   (H) HOTEL,2011,557.0,150701.0,Mallorca
   (HA) HOTEL APARTAMENTO,2011,188.0,76315.0,Mallorca
   (HO) HOSPEDERÍA,2011,,,Mallorca
   (HR) HOTEL RURAL,2011,31.0,1137.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2011,12.0,781.0,Mallorca
   (HS) HOSTAL,2011,78.0,4165.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2011,93.0,3815.0,Mallorca
   (PE) PENSIÓN,2011,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2011,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2011,64.0,839.0,Mallorca
   (AG) AGROTURISMO,2010,175.0,2507.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2010,372.0,43689.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2010,19.0,566.0,Mallorca
   (CT) CAMPING TURÍSTICO,2010,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2010,2.0,1778.0,Mallorca
   (F) FONDA,2010,9.0,248.0,Mallorca
   (H) HOTEL,2010,560.0,151014.0,Mallorca
   (HA) HOTEL APARTAMENTO,2010,186.0,75008.0,Mallorca
   (HO) HOSPEDERÍA,2010,,,Mallorca
   (HR) HOTEL RURAL,2010,31.0,1134.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2010,12.0,781.0,Mallorca
   (HS) HOSTAL,2010,88.0,4633.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2010,98.0,3964.0,Mallorca
   (PE) PENSIÓN,2010,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2010,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2010,60.0,773.0,Mallorca
   (AG) AGROTURISMO,2009,158.0,2236.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2009,380.0,45550.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2009,19.0,566.0,Mallorca
   (CT) CAMPING TURÍSTICO,2009,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2009,2.0,1778.0,Mallorca
   (F) FONDA,2009,9.0,248.0,Mallorca
   (H) HOTEL,2009,558.0,149455.0,Mallorca
   (HA) HOTEL APARTAMENTO,2009,177.0,72848.0,Mallorca
   (HO) HOSPEDERÍA,2009,,,Mallorca
   (HR) HOTEL RURAL,2009,30.0,1069.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2009,13.0,844.0,Mallorca
   (HS) HOSTAL,2009,91.0,5269.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2009,99.0,3996.0,Mallorca
   (PE) PENSIÓN,2009,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2009,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2009,54.0,683.0,Mallorca
   (AG) AGROTURISMO,2008,151.0,2082.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2008,387.0,46340.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2008,19.0,566.0,Mallorca
